Geneid,Tumor_SRR30510137,Tumor_SRR30510151,Tumor_SRR30510181,Normal_SRR28602760,Normal_SRR28602761,Normal_SRR28602767
ENSG00000279928,6,0,2,2,2,6
ENSG00000228037,0,0,7,15,8,6
ENSG00000142611,2403,735,168,1128,1247,504
ENSG00000284616,0,0,0,0,0,0
ENSG00000157911,1369,537,889,805,1177,1301
ENSG00000269896,88,20,39,211,124,109
ENSG00000228463,13,64,18,5,8,42
ENSG00000260972,0,0,4,0,0,0
ENSG00000224340,0,0,0,0,0,0
ENSG00000226374,0,0,0,10,0,0
ENSG00000229280,0,0,0,0,0,0
ENSG00000142655,251,101,350,1796,1571,1349
ENSG00000232596,2,0,0,1,0,6
ENSG00000235054,0,0,0,4,0,0
ENSG00000231510,0,0,0,0,0,0
ENSG00000149527,56,179,2,4103,6002,7471
ENSG00000284739,0,0,0,0,0,0
ENSG00000171621,323,127,741,391,1225,2372
ENSG00000272235,15,6,24,12,12,0
ENSG00000284694,0,0,0,9,2,0
ENSG00000224387,0,2,0,31,38,142
ENSG00000142583,118,41,3180,1719,1782,5708
ENSG00000284674,0,0,0,0,0,0
ENSG00000224338,2,0,0,0,0,0
ENSG00000287727,0,0,0,8,6,6
ENSG00000286448,0,0,0,0,0,0
ENSG00000284703,0,0,0,147,22,2
ENSG00000226457,14,2,46,3,0,0
ENSG00000173614,579,534,438,337,387,585
ENSG00000215720,2,0,0,0,6,0
ENSG00000241326,0,0,0,0,0,0
ENSG00000233623,0,1,0,0,0,2
ENSG00000162592,17,13,0,7,13,5
ENSG00000204624,3008,1242,44,1708,1086,403
ENSG00000142606,30,0,0,78,80,35
ENSG00000225931,0,0,0,0,4,1
ENSG00000171729,918,268,560,350,475,549
ENSG00000279457,36,18,40,400,541,442
ENSG00000229393,0,2,0,29,84,191
ENSG00000037637,6940,5943,2304,1852,1829,1601
ENSG00000287586,4,0,0,0,2,0
ENSG00000159423,1205,403,1712,3275,4525,3579
ENSG00000227169,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0
ENSG00000157916,7059,3779,3058,2169,3420,4838
ENSG00000157881,2329,1453,838,1338,1269,1242
ENSG00000238290,2,4,0,13,14,15
ENSG00000225387,0,4,6,0,0,0
ENSG00000048707,3388,2222,929,4802,6299,7059
ENSG00000225196,0,0,0,0,0,0
ENSG00000162444,4,4,36,246,1942,2558
ENSG00000279625,0,0,0,0,0,0
ENSG00000180758,52,122,12,66,56,47
ENSG00000184677,2326,1354,775,1304,1886,2384
ENSG00000288398,390,422,382,588,696,325
ENSG00000224621,4,0,0,0,4,0
ENSG00000285833,1,0,0,0,0,0
ENSG00000131697,537,478,353,1642,1391,1394
ENSG00000284692,0,0,28,2,6,4
ENSG00000284745,0,0,0,0,18,43
ENSG00000280222,2,20,6,54,42,25
ENSG00000285945,0,0,0,77,35,6
ENSG00000197921,1755,842,8,409,356,30
ENSG00000233755,0,0,0,0,0,0
ENSG00000233929,16,20,39,0,7,0
ENSG00000234166,0,0,0,0,0,0
ENSG00000235282,0,0,0,0,0,0
ENSG00000055070,2472,1048,2736,1622,3038,4398
ENSG00000175087,8482,9808,1351,596,624,746
ENSG00000230035,0,0,1,0,0,0
ENSG00000225643,5,0,6,11,27,16
ENSG00000284666,0,0,0,0,0,0
ENSG00000228943,0,0,0,2,0,1
ENSG00000234397,2,4,0,2,0,0
ENSG00000284309,0,0,0,0,2,0
ENSG00000162511,5134,0,15947,1743,2622,8987
ENSG00000158014,0,22,35,11,11,2
ENSG00000204138,5139,2508,2538,1307,2141,4031
ENSG00000233419,0,0,0,0,5,12
ENSG00000235263,0,0,0,0,0,4
ENSG00000228176,0,0,0,0,0,0
ENSG00000231251,0,0,0,0,0,2
ENSG00000142675,214,174,52,336,759,743
ENSG00000197245,20,8,9,111,113,52
ENSG00000130772,585,287,618,392,342,547
ENSG00000215899,0,0,0,0,0,0
ENSG00000271398,6,2,5,0,1,1
ENSG00000225011,0,0,0,0,0,0
ENSG00000235069,0,0,0,0,0,0
ENSG00000284676,0,0,0,2,0,9
ENSG00000237058,2,0,3,38,19,4
ENSG00000233399,0,0,0,0,0,0
ENSG00000090020,353,234,450,2275,1354,903
ENSG00000157978,348,122,521,945,4636,8996
ENSG00000130770,4649,4064,3440,5165,5028,3798
ENSG00000229044,2,0,0,2,2,1
ENSG00000162512,4428,3829,4318,12546,13575,10102
ENSG00000158006,861,250,461,318,839,1380
ENSG00000214812,2,0,0,0,0,0
ENSG00000126698,26134,14428,7203,5409,6025,6311
ENSG00000229447,114,42,7,8,39,53
ENSG00000229607,0,0,0,0,0,0
ENSG00000130766,1639,2483,2440,725,438,538
ENSG00000168528,1111,959,1562,166,80,330
ENSG00000196581,27,35,85,3123,2081,3531
ENSG00000169403,332,26,1485,256,303,1460
ENSG00000084628,1886,1783,376,435,1061,614
ENSG00000060688,8397,5041,4124,863,1332,1950
ENSG00000171612,1729,1832,867,1740,1601,1461
ENSG00000270927,0,0,0,0,0,0
ENSG00000188910,2,0,0,134,43,0
ENSG00000230523,0,0,0,0,0,0
ENSG00000158161,5701,3287,603,1470,1408,1736
ENSG00000142684,0,0,0,0,0,0
ENSG00000121769,323,387,241,4089,2003,957
ENSG00000142627,515,522,212,157,248,303
ENSG00000284668,0,0,0,0,1,2
ENSG00000233234,0,0,0,0,0,0
ENSG00000142632,108,70,38,69,41,53
ENSG00000234593,0,1,0,6,8,0
ENSG00000270605,105,34,10,228,257,238
ENSG00000189337,1204,2809,198,1952,3620,6655
ENSG00000235143,0,0,0,0,0,0
