source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048856,anatomical structure development,3.6461825120512246e-55,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5924,3737,1465,21017,0.39202568905539203,0.24729912221471978,query_1,['GO:0032502']
GO:BP,GO:0032502,developmental process,3.7450756744394223e-53,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6478,3737,1565,21017,0.41878512175541877,0.24158690953998146,query_1,['GO:0008150']
GO:BP,GO:0065007,biological regulation,7.278623699200498e-48,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12671,3737,2654,21017,0.7101953438587102,0.20945466024780995,query_1,['GO:0008150']
GO:BP,GO:0032501,multicellular organismal process,5.886848176737456e-46,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7234,3737,1680,21017,0.4495584693604496,0.23223666021564832,query_1,['GO:0008150']
GO:BP,GO:0050789,regulation of biological process,1.1639726144558498e-45,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12278,3737,2579,21017,0.6901257693336901,0.2100504968235869,query_1,"['GO:0008150', 'GO:0065007']"
GO:BP,GO:0007275,multicellular organism development,1.800707807919296e-43,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4658,3737,1169,21017,0.3128177682633128,0.250966079862602,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0048731,system development,2.483019634534924e-41,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",3985,3737,1024,21017,0.274016590848274,0.25696361355081554,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0050794,regulation of cellular process,3.7142375632327195e-40,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11876,3737,2487,21017,0.6655070912496656,0.20941394408891884,query_1,"['GO:0009987', 'GO:0050789']"
GO:BP,GO:0007154,cell communication,8.444216795579317e-39,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6496,3737,1509,21017,0.4037998394434038,0.23229679802955666,query_1,['GO:0009987']
GO:BP,GO:0023052,signaling,7.364257166719315e-38,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6471,3737,1500,21017,0.4013914905004014,0.23180343069077422,query_1,['GO:0050789']
GO:BP,GO:0007399,nervous system development,1.110279306902241e-34,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",2541,3737,696,21017,0.18624565159218626,0.27390791027154665,query_1,['GO:0048731']
GO:BP,GO:0030154,cell differentiation,5.204351418468269e-32,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4381,3737,1066,21017,0.28525555258228524,0.2433234421364985,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,5.776319413282755e-32,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4382,3737,1066,21017,0.28525555258228524,0.24326791419443178,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0048522,positive regulation of cellular process,1.9383509544821582e-31,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5886,3737,1358,21017,0.3633930960663634,0.23071695548759769,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0051716,cellular response to stimulus,2.4043916986725e-31,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7320,3737,1629,21017,0.4359111586834359,0.22254098360655739,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0048518,positive regulation of biological process,4.54451722041692e-31,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6235,3737,1423,21017,0.3807867273213808,0.22822774659182038,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0010646,regulation of cell communication,3.1571210952772556e-28,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3453,3737,862,21017,0.23066630987423067,0.24963799594555458,query_1,"['GO:0007154', 'GO:0050794']"
