Tumor_SRR30510137,Tumor_SRR30510151,Tumor_SRR30510181,Normal_SRR28602760,Normal_SRR28602761,Normal_SRR28602767
6,0,2,2,2,6
0,0,7,15,8,6
2403,735,168,1128,1247,504
0,0,0,0,0,0
1369,537,889,805,1177,1301
88,20,39,211,124,109
13,64,18,5,8,42
0,0,4,0,0,0
0,0,0,0,0,0
0,0,0,10,0,0
0,0,0,0,0,0
251,101,350,1796,1571,1349
2,0,0,1,0,6
0,0,0,4,0,0
0,0,0,0,0,0
56,179,2,4103,6002,7471
0,0,0,0,0,0
323,127,741,391,1225,2372
15,6,24,12,12,0
0,0,0,9,2,0
0,2,0,31,38,142
118,41,3180,1719,1782,5708
0,0,0,0,0,0
2,0,0,0,0,0
0,0,0,8,6,6
0,0,0,0,0,0
0,0,0,147,22,2
14,2,46,3,0,0
579,534,438,337,387,585
2,0,0,0,6,0
0,0,0,0,0,0
0,1,0,0,0,2
17,13,0,7,13,5
3008,1242,44,1708,1086,403
30,0,0,78,80,35
0,0,0,0,4,1
918,268,560,350,475,549
36,18,40,400,541,442
0,2,0,29,84,191
6940,5943,2304,1852,1829,1601
4,0,0,0,2,0
1205,403,1712,3275,4525,3579
0,0,0,0,0,0
0,0,0,0,0,0
7059,3779,3058,2169,3420,4838
2329,1453,838,1338,1269,1242
2,4,0,13,14,15
0,4,6,0,0,0
3388,2222,929,4802,6299,7059
0,0,0,0,0,0
4,4,36,246,1942,2558
0,0,0,0,0,0
52,122,12,66,56,47
2326,1354,775,1304,1886,2384
390,422,382,588,696,325
4,0,0,0,4,0
1,0,0,0,0,0
537,478,353,1642,1391,1394
0,0,28,2,6,4
0,0,0,0,18,43
2,20,6,54,42,25
0,0,0,77,35,6
1755,842,8,409,356,30
0,0,0,0,0,0
16,20,39,0,7,0
0,0,0,0,0,0
0,0,0,0,0,0
2472,1048,2736,1622,3038,4398
8482,9808,1351,596,624,746
0,0,1,0,0,0
5,0,6,11,27,16
0,0,0,0,0,0
0,0,0,2,0,1
2,4,0,2,0,0
0,0,0,0,2,0
5134,0,15947,1743,2622,8987
0,22,35,11,11,2
5139,2508,2538,1307,2141,4031
0,0,0,0,5,12
0,0,0,0,0,4
0,0,0,0,0,0
0,0,0,0,0,2
214,174,52,336,759,743
20,8,9,111,113,52
585,287,618,392,342,547
0,0,0,0,0,0
6,2,5,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,0,9
2,0,3,38,19,4
