,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:BP,GO:0065007,biological regulation,1.0597538509606344e-50,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12671,4718,3296,21017,0.698601102161933,0.2601215373687949,query_1,['GO:0008150']
1,GO:BP,GO:0050789,regulation of biological process,7.477963132065619e-47,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12278,4718,3195,21017,0.6771937261551505,0.26022153445186513,query_1,"['GO:0008150', 'GO:0065007']"
2,GO:BP,GO:0032502,developmental process,2.2070138304015257e-46,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6478,4718,1874,21017,0.39720220432386605,0.2892868169188021,query_1,['GO:0008150']
3,GO:BP,GO:0048856,anatomical structure development,3.787809052156691e-46,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5924,4718,1739,21017,0.3685883849088597,0.29355165428764346,query_1,['GO:0032502']
4,GO:BP,GO:0050794,regulation of cellular process,1.424318576226066e-43,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11876,4718,3093,21017,0.6555743959304791,0.2604412260020209,query_1,"['GO:0009987', 'GO:0050789']"
5,GO:BP,GO:0007275,multicellular organism development,9.765378562582074e-40,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4658,4718,1399,21017,0.2965239508266215,0.3003434950622585,query_1,"['GO:0032501', 'GO:0048856']"
6,GO:BP,GO:0048522,positive regulation of cellular process,7.973271051130268e-36,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5886,4718,1682,21017,0.3565069944891903,0.2857628270472307,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
7,GO:BP,GO:0032501,multicellular organismal process,3.4514666009786865e-35,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7234,4718,2000,21017,0.42390843577787196,0.2764722145424385,query_1,['GO:0008150']
8,GO:BP,GO:0048731,system development,9.811059759102478e-35,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",3985,4718,1208,21017,0.2560406952098347,0.3031367628607277,query_1,"['GO:0007275', 'GO:0048856']"
9,GO:BP,GO:0048518,positive regulation of biological process,1.9460158831756774e-34,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6235,4718,1759,21017,0.3728274692666384,0.28211708099438654,query_1,"['GO:0008150', 'GO:0050789']"
10,GO:BP,GO:0007399,nervous system development,2.7053966315193474e-30,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",2541,4718,817,21017,0.17316659601526072,0.32152695789059427,query_1,['GO:0048731']
11,GO:BP,GO:0006996,organelle organization,1.0282582811171709e-27,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",3570,4718,1071,21017,0.22700296735905046,0.3,query_1,['GO:0016043']
12,GO:BP,GO:0007049,cell cycle,2.3827835183698024e-26,True,"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]",1824,4718,610,21017,0.12929207291225095,0.3344298245614035,query_1,['GO:0009987']
13,GO:BP,GO:0051716,cellular response to stimulus,2.558234604196494e-26,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7320,4718,1971,21017,0.4177617634590928,0.2692622950819672,query_1,"['GO:0009987', 'GO:0050896']"
14,GO:BP,GO:0051128,regulation of cellular component organization,1.3824205596747145e-25,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2398,4718,760,21017,0.16108520559559136,0.31693077564637195,query_1,"['GO:0016043', 'GO:0050794']"
15,GO:BP,GO:0010646,regulation of cell communication,2.595322916068969e-24,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3453,4718,1025,21017,0.2172530733361594,0.29684332464523605,query_1,"['GO:0007154', 'GO:0050794']"
16,GO:BP,GO:0007154,cell communication,2.9006729202643856e-24,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6496,4718,1765,21017,0.374099194573972,0.27170566502463056,query_1,['GO:0009987']
17,GO:BP,GO:0051179,localization,3.748523730024262e-24,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",5521,4718,1532,21017,0.32471386180584993,0.27748596268791886,query_1,['GO:0008150']
18,GO:BP,GO:0022402,cell cycle process,8.12755122026326e-24,True,"""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]",1280,4718,451,21017,0.09559135226791013,0.35234375,query_1,"['GO:0007049', 'GO:0009987']"
19,GO:BP,GO:0023052,signaling,9.397830665890826e-24,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6471,4718,1756,21017,0.37219160661297157,0.27136454952866634,query_1,['GO:0050789']
20,GO:BP,GO:0023051,regulation of signaling,1.1563739679857107e-23,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3446,4718,1020,21017,0.2161933022467147,0.2959953569355775,query_1,"['GO:0023052', 'GO:0050789']"
21,GO:BP,GO:0030154,cell differentiation,2.0382381508782165e-23,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4381,4718,1251,21017,0.2651547265790589,0.2855512440082173,query_1,['GO:0048869']
22,GO:BP,GO:0048869,cellular developmental process,2.25981919789633e-23,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4382,4718,1251,21017,0.2651547265790589,0.28548607941579185,query_1,"['GO:0009987', 'GO:0032502']"
23,GO:BP,GO:0000278,mitotic cell cycle,9.31315170286843e-23,True,"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194]",897,4718,338,21017,0.07164052564646037,0.37681159420289856,query_1,['GO:0007049']
24,GO:BP,GO:1903047,mitotic cell cycle process,1.451791553152139e-22,True,"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",747,4718,293,21017,0.062102585841458245,0.392235609103079,query_1,"['GO:0000278', 'GO:0022402']"
25,GO:BP,GO:0080090,regulation of primary metabolic process,7.431866378916993e-22,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",5486,4718,1510,21017,0.32005086901229335,0.27524608093328473,query_1,"['GO:0019222', 'GO:0044238']"
26,GO:BP,GO:0050896,response to stimulus,1.3817835600358255e-21,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",8993,4718,2327,21017,0.49321746502755404,0.2587568108528856,query_1,['GO:0008150']
27,GO:BP,GO:0022008,neurogenesis,3.329614463496962e-21,True,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",1746,4718,569,21017,0.12060194997880458,0.3258877434135166,query_1,"['GO:0007399', 'GO:0030154']"
28,GO:BP,GO:0048513,animal organ development,3.102546466738739e-20,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3047,4718,902,21017,0.19118270453582026,0.296028880866426,query_1,['GO:0048856']
29,GO:BP,GO:0009653,anatomical structure morphogenesis,4.5150044635116995e-20,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2692,4718,811,21017,0.17189487070792708,0.3012630014858841,query_1,"['GO:0032502', 'GO:0048856']"
30,GO:BP,GO:0035556,intracellular signal transduction,1.4646604070497493e-19,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2946,4718,873,21017,0.18503603221704112,0.29633401221995925,query_1,['GO:0007165']
31,GO:BP,GO:0006810,transport,1.6280922600433235e-19,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",4341,4718,1219,21017,0.25837219160661296,0.28081087307072106,query_1,['GO:0051234']
32,GO:BP,GO:0048699,generation of neurons,1.299836298955752e-18,True,"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]",1517,4718,497,21017,0.10534124629080119,0.3276203032300593,query_1,['GO:0022008']
